plan_id,tag,direction,kind,entry_time,entry,sl,tp,exit_time,exit_price,result,lot,pnl_pips,pnl_usd,entry_bar,exit_bar
139,ไม้1:แม่0%,BUY,LIMIT,2026-04-08 01:22:00,4797.52,4793.184,4806.192,2026-04-08 01:23:00,4806.192,TP,0.23,867.2,199.46,89162,89163
144,ไม้1:แม่0%,BUY,LIMIT,2026-04-09 09:47:00,4723.688,4721.931,4728.96,2026-04-09 09:49:00,4728.96,TP,0.56,527.2,295.24,91047,91049
145,ไม้1:แม่0%,BUY,LIMIT,2026-04-10 12:28:00,4759.915,4757.849,4766.113,2026-04-10 12:30:00,4766.113,TP,0.48,619.8,297.5,92588,92590
146,ไม้1:แม่0%,SELL,LIMIT,2026-04-10 12:32:00,4776.11,4779.218,4766.786,2026-04-10 12:33:00,4779.218,SL,0.32,-310.8,-99.46,92592,92593
147,ไม้1:แม่0%,SELL,LIMIT,2026-04-13 05:59:00,4729.135,4730.883,4725.639,2026-04-13 06:00:00,4725.639,TP,0.57,349.6,199.27,93579,93580
148,ไม้1:แม่0%,SELL,LIMIT,2026-04-13 07:04:00,4736.975,4739.729,4731.467,2026-04-13 07:09:00,4731.467,TP,0.36,550.8,198.29,93644,93649
149,ไม้1:แม่0%,BUY,LIMIT,2026-04-13 13:55:00,4724.71,4721.798,4730.534,2026-04-13 13:59:00,4730.534,TP,0.34,582.4,198.02,94055,94059
150,ไม้1:แม่0%,SELL,LIMIT,2026-04-13 17:21:00,4744.155,4746.965,4738.535,2026-04-13 17:22:00,4746.965,SL,0.35,-281.0,-98.35,94261,94262
151,ไม้1:แม่0%,SELL,LIMIT,2026-04-15 13:25:00,4817.856,4819.375,4814.819,2026-04-15 13:25:00,4819.375,SL,0.65,-151.9,-98.71,96785,96785
152,ไม้1:แม่0%,SELL,LIMIT,2026-04-15 22:02:00,4797.43,4799.492,4791.244,2026-04-15 22:12:00,4791.244,TP,0.48,618.6,296.93,97242,97252
154,ไม้1:แม่0%,BUY,LIMIT,2026-04-16 13:43:00,4815.822,4814.374,4818.716,2026-04-16 13:46:00,4818.716,TP,0.69,289.5,199.74,98183,98186
155,ไม้1:แม่0%,BUY,LIMIT,2026-04-16 13:54:00,4795.05,4791.292,4802.566,2026-04-16 13:54:00,4791.292,SL,0.26,-375.8,-97.71,98194,98194
157,ไม้1:แม่0%,SELL,LIMIT,2026-04-20 05:33:00,4795.095,4796.545,4792.195,2026-04-20 05:35:00,4792.195,TP,0.68,290.0,197.2,100453,100455
159,ไม้1:แม่0%,SELL,LIMIT,2026-04-20 18:05:00,4811.57,4812.586,4809.538,2026-04-20 18:05:00,4812.586,SL,0.98,-101.6,-99.57,101205,101205
160,ไม้1:แม่0%,BUY,LIMIT,2026-04-21 00:29:00,4820.82,4819.41,4823.64,2026-04-21 00:29:00,4819.41,SL,0.7,-141.0,-98.7,101529,101529
161,ไม้1:แม่0%,SELL,LIMIT,2026-04-21 08:23:00,4788.455,4791.031,4783.303,2026-04-21 08:43:00,4791.031,SL,0.38,-257.6,-97.89,102003,102023
163,ไม้1:แม่0%,SELL,LIMIT,2026-04-21 20:13:00,4698.445,4704.228,4686.878,2026-04-21 20:16:00,4704.228,SL,0.17,-578.3,-98.32,102713,102716
164,ไม้1:แม่0%,BUY,LIMIT,2026-04-22 09:49:00,4756.435,4755.433,4758.439,2026-04-22 09:53:00,4755.433,SL,0.99,-100.2,-99.2,103469,103473
166,ไม้1:แม่0%,BUY,LIMIT,2026-04-23 00:04:00,4720.94,4719.35,4725.71,2026-04-23 00:07:00,4719.35,SL,0.62,-159.0,-98.58,104264,104267
167,ไม้1:แม่0%,SELL,LIMIT,2026-04-23 00:25:00,4730.425,4737.357,4709.629,2026-04-23 00:26:00,4737.357,SL,0.14,-693.2,-97.05,104285,104286
168,ไม้1:แม่0%,BUY,LIMIT,2026-04-24 17:33:00,4719.67,4718.282,4722.446,2026-04-24 17:35:00,4722.446,TP,0.72,277.6,199.87,106693,106695
169,ไม้1:แม่0%,BUY,LIMIT,2026-04-26 22:06:00,4692.685,4689.252,4702.983,2026-04-26 22:06:00,4689.252,SL,0.29,-343.3,-99.55,106906,106906
171,ไม้1:แม่0%,BUY,LIMIT,2026-04-27 13:38:00,4692.69,4690.89,4696.29,2026-04-27 13:39:00,4690.89,SL,0.55,-180.0,-99.0,107838,107839
172,ไม้1:แม่0%,BUY,LIMIT,2026-04-28 08:05:00,4618.985,4616.197,4624.561,2026-04-28 08:06:00,4616.197,SL,0.35,-278.8,-97.58,108885,108886
173,ไม้1:แม่0%,SELL,LIMIT,2026-04-29 11:38:00,4570.525,4571.899,4566.403,2026-04-29 11:40:00,4566.403,TP,0.72,412.2,296.78,110478,110480
174,ไม้1:แม่0%,BUY,LIMIT,2026-04-30 15:41:00,4614.97,4613.276,4618.358,2026-04-30 15:44:00,4613.276,SL,0.59,-169.4,-99.95,112101,112104
176,ไม้1:แม่0%,SELL,LIMIT,2026-04-30 17:08:00,4616.98,4618.908,4613.124,2026-04-30 17:10:00,4618.908,SL,0.51,-192.8,-98.33,112188,112190
178,ไม้1:แม่0%,BUY,LIMIT,2026-05-01 05:40:00,4609.38,4608.332,4611.476,2026-05-01 05:43:00,4611.476,TP,0.95,209.6,199.12,112880,112883
179,ไม้1:แม่0%,SELL,LIMIT,2026-05-01 13:35:00,4600.2,4602.586,4595.428,2026-05-01 13:36:00,4602.586,SL,0.41,-238.6,-97.83,113355,113356
180,ไม้1:แม่0%,SELL,LIMIT,2026-05-04 00:09:00,4615.22,4617.124,4611.412,2026-05-04 00:12:00,4611.412,TP,0.52,380.8,198.02,113929,113932
181,ไม้1:แม่0%,BUY,LIMIT,2026-05-04 01:06:00,4601.045,4598.711,4605.713,2026-05-04 01:07:00,4598.711,SL,0.42,-233.4,-98.03,113986,113987
182,ไม้1:แม่0%,SELL,LIMIT,2026-05-04 03:48:00,4612.195,4614.797,4604.389,2026-05-04 03:58:00,4614.797,SL,0.38,-260.2,-98.88,114148,114158
183,ไม้1:แม่0%,SELL,LIMIT,2026-05-04 05:22:00,4610.8,4612.594,4607.212,2026-05-04 05:24:00,4607.212,TP,0.55,358.8,197.34,114242,114244
184,ไม้1:แม่0%,BUY,LIMIT,2026-05-05 00:26:00,4517.15,4515.594,4520.262,2026-05-05 00:27:00,4515.594,SL,0.64,-155.6,-99.58,115326,115327
185,ไม้1:แม่0%,BUY,LIMIT,2026-05-05 14:18:00,4570.42,4567.814,4578.238,2026-05-05 14:18:00,4567.814,SL,0.38,-260.6,-99.03,116158,116158
187,ไม้1:แม่0%,BUY,LIMIT,2026-05-05 22:05:00,4551.43,4550.12,4554.05,2026-05-05 22:05:00,4550.12,SL,0.76,-131.0,-99.56,116565,116565
188,ไม้1:แม่0%,SELL,LIMIT,2026-05-05 22:59:00,4571.37,4575.248,4563.614,2026-05-05 23:05:00,4575.248,SL,0.25,-387.8,-96.95,116619,116625
189,ไม้1:แม่0%,BUY,LIMIT,2026-05-06 05:33:00,4646.535,4645.055,4649.495,2026-05-06 05:33:00,4645.055,SL,0.67,-148.0,-99.16,117013,117013
190,ไม้1:แม่0%,SELL,LIMIT,2026-05-07 00:13:00,4699.285,4700.943,4695.969,2026-05-07 00:17:00,4695.969,TP,0.6,331.6,198.96,118073,118077
191,ไม้1:แม่0%,BUY,LIMIT,2026-05-07 00:27:00,4693.125,4691.675,4696.025,2026-05-07 00:30:00,4691.675,SL,0.68,-145.0,-98.6,118087,118090
192,ไม้1:แม่0%,SELL,LIMIT,2026-05-07 05:36:00,4705.307,4707.229,4699.541,2026-05-07 06:02:00,4707.229,SL,0.52,-192.2,-99.94,118396,118422
193,ไม้1:แม่0%,SELL,LIMIT,2026-05-07 20:04:00,4717.182,4720.094,4711.358,2026-05-07 20:09:00,4711.358,TP,0.34,582.4,198.02,119264,119269
194,ไม้1:แม่0%,SELL,LIMIT,2026-05-08 05:32:00,4724.925,4727.479,4719.817,2026-05-08 05:49:00,4727.479,SL,0.39,-255.4,-99.61,119772,119789
195,ไม้1:แม่0%,SELL,LIMIT,2026-05-11 01:07:00,4697.56,4701.128,4690.424,2026-05-11 01:09:00,4690.424,TP,0.28,713.6,199.81,120887,120889
196,ไม้1:แม่0%,SELL,LIMIT,2026-05-11 12:31:00,4692.33,4696.276,4684.438,2026-05-11 12:32:00,4696.276,SL,0.25,-394.6,-98.65,121571,121572
197,ไม้1:แม่0%,BUY,LIMIT,2026-05-12 09:39:00,4698.665,4697.559,4700.877,2026-05-12 09:39:00,4700.877,TP,0.9,221.2,199.08,122779,122779
198,ไม้1:แม่0%,SELL,LIMIT,2026-05-13 00:07:00,4724.475,4726.273,4720.879,2026-05-13 00:08:00,4720.879,TP,0.55,359.6,197.78,123587,123588
199,ไม้1:แม่0%,BUY,LIMIT,2026-05-14 23:36:00,4650.84,4648.24,4658.64,2026-05-14 23:36:00,4648.24,SL,0.38,-260.0,-98.8,126312,126312
